,PHARMACLASS,DRUG
3003561,N0000175459,J05AF
3003562,N0000000106,G04BE
3003563,N0000007681,N01BB
3003564,N0000175721,M02AA
3003565,N0000175651,A08AA
3003566,N0000175975,N01AX
3003567,N0000000183,P03AA
3003569,N0000185504,C01BD
3003571,N0000175651,N06BA
3003572,N0000175862,V08CA
3003573,N0000175654,H01CA
3003574,N0000175921,L02BG
3003575,N0000175450,D07AC
3003576,N0000011161,J01DB
3003577,N0000010258,V08AB
3003579,N0000175459,L04AX
3003580,N0000175450,C05AA
3003581,N0000175732,M03AC
3003582,N0000166743,N01BA
3003583,N0000000236,L01AD
3003584,N0000191280,J01XA
3003585,N0000000236,L01AB
3003586,N0000007663,J01XD
3003587,N0000175862,V08CA
3003588,N0000175684,N02AA
3003589,N0000000190,R06AB
3003590,N0000175374,A10BG
3003591,N0000175964,B01AA
3003592,N0000191258,J05AP
3003593,N0000007715,C01CA
3003594,N0000008157,C01AA
3003595,N0000175076,L01EX
3003596,N0000175684,N02AA
3003597,N0000182638,J05AP
3003598,N0000175445,J05AX
3003599,N0000190118,J05AE
3003600,N0000007706,S01EE
3003601,N0000008217,J02AC
3003602,N0000187063,N03AB
3003603,N0000175684,N02AA
3003604,N0000011161,J01DD
3003605,N0000011281,J01CA
