,PHARMACLASS,DRUG
3002800,N0000011301,G03AD
3002801,N0000175628,R01AC
3002802,N0000190482,B01AC
3002803,N0000000176,L01DB
3002804,N0000009922,R03AC
3002805,N0000010288,A06AD
3002806,N0000182141,J05AP
3002807,N0000175684,N07BC
3002808,N0000000154,A06AH
3002809,N0000175076,L01EX
3002810,N0000175729,N06BA
3002811,N0000007530,L01DB
3002812,N0000175862,V08CA
3002813,N0000009924,C07AG
3002814,N0000175085,L01DC
3002815,N0000175968,B02BX
3002816,N0000175075,L01XG
3002817,N0000175721,M01AC
3002818,N0000000083,R03DC
3002819,N0000008486,N03AF
3002820,N0000008853,D01AE
3002821,N0000175684,N02AC
3002822,N0000185504,J01EC
3002823,N0000185503,C01BD
3002824,N0000007911,J04AB
3002825,N0000000109,N06AX
3002826,N0000175359,C03BA
3002827,N0000175686,N02AD
3002828,N0000175508,J02AX
3002829,N0000008836,N02BA
3002830,N0000166469,C03AA
3002831,N0000009918,N02CX
3002832,N0000190108,L01EC
3002833,N0000000243,L02BB
3002834,N0000000191,P01BB
3002836,N0000182141,J05AP
3002837,N0000007700,L01XF
3002838,N0000175684,N02AB
3002839,N0000190107,J05AP
3002840,N0000000069,C08CA
3002841,N0000182140,J02AC
3002842,N0000175359,C03BA
3002843,N0000008217,G01AG
3002844,N0000175850,D11AX
3002845,N0000000174,R05DA
3002848,N0000187064,L01EC
3002849,N0000190113,J05AE
3002850,N0000011414,J01FA
3002851,N0000000104,S01EB
3002852,N0000007707,M05BA
3002853,N0000000194,H01CB
3002854,N0000175817,A04AA
3002855,N0000175632,B02AA
3002856,N0000000236,L01DC
3002857,N0000185504,J02AC
3002858,N0000190118,N03AB
3002859,N0000007700,D05AX
3002860,N0000008054,A10BB
3002861,N0000007556,C08CA
3002862,N0000000125,G04BD
3002863,N0000007542,N05BA
3002864,N0000008486,N03AF
3002865,N0000185503,L01EC
3002866,N0000175359,C03AA
3002867,N0000175436,J05AH
3002868,N0000020060,S01AD
3002869,N0000182141,R07AX
3002870,N0000185503,L04AA
3002871,N0000185504,J02AC
3002872,N0000000069,C08CA
3002873,N0000000233,L04AX
3002874,N0000190114,J05AE
3002876,N0000175729,N06BA
3002877,N0000000151,A02BA
3002878,N0000178477,C09AA
3002879,N0000175763,N02CC
3002880,N0000000190,R06AX
3002881,N0000185507,N03AF
3002882,N0000185503,C10AX
3002883,N0000000168,L02BA
3002884,N0000006996,D05AX
3002885,N0000000233,L01BC
3002886,N0000008486,N03AX
3002887,N0000007566,D01AE
3002888,N0000182143,B01AC
