,ANAT,DIAG
2597669,1840,0000002
2597671,303,0002037
2597672,5859,0002523
2597673,1619,0002486
2597674,365,0001772
2597675,6960,0001485
2597676,303,0001968
2597677,99791,0002522
2597678,3320,0001597
2597679,186,0000473
2597680,150,0001515
2597681,346,0002298
2597682,346,0002389
2597683,5770,0001089
2597684,5920,0002113
2597686,1640,0001638
2597690,7100,0002352
2597691,410,0002354
2597692,346,0000974
2597695,5716,0002017
2597697,51631,0002048
2597698,27800,0001103
2597699,440,0002137
2597700,1361,0001361
2597703,2449,0001088
2597704,1649,0001805
2597707,1840,0000992
2597708,3459,0001017
2597711,2564,0002411
2597714,1490,0002386
2597716,477,0001825
2597717,1429,0001832
2597718,33520,0001577
2597719,295,0001577
2597720,2777,0001348
2597721,365,0002392
2597722,1490,0002298
2597723,1490,0001616
2597727,1840,0000997
2597731,5920,0001232
2597732,340,0002405
2597736,6960,0001469
2597737,0309,0001716
2597738,33520,0001643
2597741,5920,0001231
2597743,2189,0000474
2597744,1361,0001365
2597745,27400,0001090
2597747,7100,0001088
2597748,5859,0002385
2597750,2189,0001296
2597753,1490,0001836
2597755,1619,0002019
2597756,73300,0000995
2597757,1874,0002411
2597759,2859,0000922
2597761,150,0001594
2597762,1490,0002453
2597764,70901,0000974
2597766,1552,0001194
2597769,440,0001394
2597770,1361,0001398
2597771,5770,0001182
2597774,188,0000482
2597775,33520,0001708
2597777,33520,0000988
2597779,29680,0002285
2597780,1361,0001516
2597781,7159,0002018
2597782,365,0001786
2597783,387,0002519
2597785,2859,0002113
2597788,99791,0002081
2597789,477,0001677
2597790,0309,0001300
2597791,1830,0000474
2597792,2396,0002129
2597794,2396,0000045
2597795,2396,0001785
2597796,1619,0002365
2597800,27800,0001013
2597801,5920,0001140
2597804,365,0001619
2597806,2859,0001986
2597807,346,0002925
2597809,52100,0001723
2597811,1619,0002377
2597812,3459,0002361
2597814,52100,0001708
2597816,73300,0001464
2597818,365,0001702
2597819,157,0001194
2597820,7140,0001836
2597822,295,0002285
2597825,5569,0001971
2597826,3320,0002386
2597827,5770,0001640
2597829,1840,0003889
2597831,179,0001637
2597832,440,0001981
2597835,1490,0001737
2597838,29680,0002148
2597839,295,0002410
2597840,340,0002360
2597843,5790,0001264
2597845,2777,0001981
2597847,6960,0002389
2597849,7100,0002299
2597850,295,0001890
2597854,1361,0001896
2597855,27800,0002028
2597858,5770,0002010
2597859,440,0002250
2597860,179,0000029
2597861,440,0000026
2597864,1640,0000974
2597865,1535,0003889
2597867,74910,0001711
2597868,2396,0001645
2597869,1619,0000974
2597870,1519,0001516
2597871,5859,0001460
2597872,340,0001643
2597873,2859,0001088
2597875,3459,0002673
2597876,1519,0002439
2597878,2990,0001720
2597880,387,0002502
2597882,99791,0002369
2597883,1490,0002240
2597886,99791,0001194
2597887,188,0001135
2597888,5859,0001228
2597889,0309,0001785
2597890,1940,0000991
2597891,5859,0001088
2597892,295,0000955
2597898,1909,0000966
2597900,7100,0002135
2597901,084,0001836
2597903,29680,0002046
2597906,52100,0001684
2597908,340,0002240
2597909,0309,0001016
2597911,33520,0001785
2597913,3310,0000955
2597916,157,0001143
2597917,365,0001827
2597918,99791,0002523
2597919,70901,0001820
2597920,346,0001017
2597921,7140,0001044
2597923,1490,0002486
2597924,3470,0001896
2597925,3310,0002037
2597926,3129,0000955
2597929,7159,0001067
2597930,1361,0000966
2597931,2396,0001679
2597932,74910,0001681
2597933,0309,0000970
2597936,5859,0001530
2597937,440,0001182
2597938,1429,0001352
2597948,303,0001235
2597949,157,0001007
2597950,30723,0001016
2597951,1649,0001594
2597952,440,0001013
2597953,150,0002185
2597954,157,0001182
2597955,74910,0002389
2597956,7159,0001267
2597957,5234,0002515
2597958,1490,0001649
2597959,5790,0001836
2597960,74910,0003129
2597961,70401,0001702
2597962,410,0001759
2597963,7140,0000982
2597965,1361,0001619
2597966,99791,0001235
2597967,5920,0001225
2597968,2396,0002285
2597971,4461,0002356
2597974,1361,0002137
2597976,2396,0001644
2597977,73300,0002371
2597979,150,0001971
2597981,3320,0000011
2597982,1844,0002356
2597983,29680,0001836
2597988,2396,0003129
2597990,1649,0002390
2597991,2449,0000473
2597992,2859,0002466
2597993,99791,0002103
2597996,440,0001398
2597999,73300,0002414
2598001,1521,0001182
2598002,33520,0001887
2598003,1922,0001905
2598004,2564,0000992
2598006,2189,0001775
2598007,73300,0002386
2598009,2777,0002060
2598010,440,0001515
2598011,186,0001000
2598013,2449,0002512
2598014,1640,0002377
2598015,1840,0000995
2598016,3320,0002385
2598017,084,0001007
2598020,346,0000988
2598022,150,0001821
2598026,74910,0001762
2598027,27400,0000043
2598028,7159,0000043
2598029,99791,0001404
2598031,1560,0002017
2598032,0309,0001003
2598034,33394,0001016
2598038,1361,0001887
2598039,5234,0001986
2598040,36250,0001673
2598041,1909,0002392
2598042,1649,0000029
2598043,185,0000056
2598045,2777,0004535
2598047,1361,0002240
2598049,7100,0002204
2598054,74910,0002500
2598058,5770,0002017
2598060,1619,0001734
2598062,3310,0002129
2598064,1490,0001690
2598065,5859,0001231
2598070,477,0001702
2598073,7200,0001485
2598075,3310,0002606
2598078,74910,0001893
2598080,5569,0001988
2598083,365,0001908
2598084,084,0001011
2598085,1361,0000985
2598088,2990,0001017
2598089,74910,0002228
2598094,387,0001678
2598095,3320,0001488
2598096,36250,0000966
2598099,0309,0001494
2598100,1840,0000474
2598101,3320,0002130
2598103,387,0001687
2598104,27800,0000013
2598107,1844,0002411
2598108,1649,0000977
2598109,340,0002130
2598110,188,0000057
2598115,365,0001985
2598116,31401,0001891
2598119,1940,0000013
2598120,346,0001675
2598122,1922,0002240
2598125,410,0000013
2598126,2449,0000178
2598127,5234,0001708
2598128,365,0000964
2598130,2189,0002512
2598135,99791,0002361
2598137,188,0001224
2598138,1830,0000002
2598139,1640,0001744
2598141,5770,0000006
2598142,346,0001785
2598143,303,0002129
2598144,2449,0001844
2598145,1560,0001174
2598146,70401,0001705
2598147,33520,0002377
2598152,2449,0000992
2598154,3320,0001323
2598155,1892,0001224
2598156,7200,0001093
2598157,27800,0001235
2598159,7200,0001067
2598160,5790,0002481
2598164,0461,0002037
2598166,340,0001017
2598171,340,0000988
2598172,33394,0001021
2598173,1909,0001772
2598174,1649,0000974
2598175,084,0002371
2598176,1429,0002377
2598177,188,0000029
2598178,3320,0000988
2598179,2859,0002137
2598180,1490,0001733
2598182,477,0000004
2598186,340,0001594
2598187,295,0002606
2598188,1940,0002369
2598189,3459,0000011
2598191,5790,0001089
2598192,74910,0000033
2598193,7100,0002066
2598197,346,0001825
2598198,1490,0003129
2598199,0309,0001780
2598201,99791,0001989
2598203,3459,0000988
2598206,33520,0002707
2598208,2449,0002369
2598209,2449,0001723
2598212,1909,0001764
2598213,33520,0001896
2598214,303,0001037
2598215,2990,0002398
2598216,7159,0002418
2598218,6960,0000982
2598219,1490,0001825
2598220,1560,0000211
2598221,3459,0001891
2598222,1490,0001684
2598223,52100,0001044
2598224,1490,0001567
2598227,157,0001971
2598228,4461,0002082
2598229,3320,0002005
2598230,3459,0001884
2598235,1640,0001103
2598236,387,0001691
2598239,5770,0002294
2598240,3459,0001893
2598242,2449,0002037
2598243,0309,0002387
2598246,7100,0001016
2598249,1361,0001776
2598251,27800,0002378
2598252,5859,0001184
2598254,1922,0001814
2598255,74910,0001723
2598257,3320,0001643
2598258,7140,0001365
2598259,74910,0001577
2598261,1490,0001724
2598263,477,0001836
2598264,1429,0001710
2598265,31401,0004535
2598266,2449,0001021
2598267,0309,0001690
2598269,346,0001805
2598270,7200,0002418
2598274,2396,0000959
2598278,2777,0002107
2598279,1552,0001182
2598280,1909,0001775
2598283,387,0001844
2598284,7100,0001225
2598285,387,0004727
2598288,1361,0002134
2598289,1519,0002010
2598290,440,0002384
2598291,0309,0001456
2598294,340,0001673
2598298,5790,0002385
2598299,084,0001988
2598301,3459,0001577
2598303,5859,0001361
2598304,33520,0001647
2598305,1429,0001577
2598306,5770,0002394
2598308,1909,0001771
2598315,2990,0000033
2598316,27800,0000006
2598320,410,0002060
2598321,36250,0002384
2598322,1940,0001132
2598323,99791,0002303
2598325,73300,0001130
2598327,7159,0001464
2598328,31401,0002389
2598330,1844,0002382
2598331,303,0001016
2598332,477,0000970
2598334,303,0001323
2598335,5569,0002466
2598336,410,0002352
2598337,185,0002356
2598338,5859,0002303
2598341,5770,0002466
2598342,4461,0002349
2598343,5790,0002110
2598345,70901,0000989
2598348,1940,0001805
2598349,7159,0000211
2598350,1552,0002066
2598351,3310,0001886
2598352,3320,0002377
2598355,3320,0001461
2598356,303,0001971
2598358,188,0001008
2598360,387,0001688
2598364,2189,0000992
2598366,346,0001905
2598368,1519,0002110
2598369,1490,0001716
2598371,6960,0002018
2598372,3310,0001893
2598373,5859,0001398
2598374,387,0001599
2598376,1519,0001264
2598378,365,0001673
2598381,185,0002481
2598387,1640,0000975
2598392,1361,0001533
2598393,29680,0001887
2598396,7100,0000482
2598397,295,0001908
2598402,1521,0002368
2598403,1940,0001088
2598407,1922,0002944
2598409,36250,0001783
2598410,387,0001773
2598411,7140,0001461
2598413,2396,0002360
2598414,5569,0002005
2598416,99791,0002298
2598420,2396,0001694
2598421,7200,0000975
2598422,150,0001103
2598424,7140,0001750
2598426,6960,0001365
2598427,157,0001970
2598428,1429,0001044
2598430,6960,0002413
2598431,3310,0002707
2598432,1490,0002500
2598435,1552,0002394
2598436,365,0001769
2598441,5716,0002107
2598443,6960,0002414
2598444,188,0002378
2598445,1552,0001175
2598446,440,0001638
2598448,1830,0000482
2598449,5790,0000178
2598450,1429,0001597
2598451,1909,0002453
2598452,1844,0001820
2598456,1649,0002347
2598458,1840,0002411
2598459,2449,0002129
2598460,99791,0001896
2598464,387,0003129
2598465,3320,0000922
2598468,303,0001890
2598469,99791,0001515
2598470,7159,0002398
2598471,2990,0001890
2598472,33394,0002103
2598473,30723,0001017
2598474,440,0001980
2598475,1519,0002371
2598476,186,0000042
2598480,1909,0001673
2598481,1361,0000955
2598482,7159,0002103
2598487,1521,0002017
2598489,6960,0000043
2598490,5859,0001324
2598492,1560,0001064
2598493,1521,0002389
2598499,340,0001148
2598501,1640,0002407
2598506,1560,0000042
2598510,7200,0002413
2598512,74910,0001710
2598519,2777,0002407
2598525,33520,0002028
2598526,1490,0001707
2598527,1490,0001759
2598529,53085,0001971
2598531,185,0002366
2598532,340,0002037
2598537,5716,0002294
2598538,2859,0001194
2598539,5234,0001684
2598541,99791,0001516
2598544,340,0001908
2598545,295,0002286
2598547,346,0002037
2598549,74910,0001691
2598552,1560,0001640
2598555,33520,0001324
2598556,1830,0000473
2598558,1535,0000029
2598561,2189,0001638
2598562,188,0000998
2598563,1429,0001837
2598566,295,0000178
2598568,1830,0000042
2598570,33520,0001322
2598571,303,0002298
2598572,7140,0002365
2598573,2859,0002135
2598575,295,0001088
2598576,2859,0000178
2598577,440,0002522
2598578,410,0001515
2598579,1361,0001986
2598580,179,0000997
2598581,1649,0002048
2598582,31401,0001017
2598584,2396,0000991
2598587,346,0001644
2598589,3129,0002410
2598590,387,0001600
2598592,440,0001535
2598593,2990,0000165
2598595,1361,0001768
2598596,7100,0001673
2598597,52100,0001736
2598598,6960,0001465
2598599,27400,0000982
2598601,1519,0001759
2598602,4461,0002066
2598604,387,0001855
2598606,340,0001891
2598607,74910,0002397
2598608,1361,0001640
2598612,1619,0000165
2598613,3320,0002275
2598615,3320,0001708
2598616,27800,0002368
2598617,99791,0002368
2598618,346,0001577
2598620,29680,0001016
2598621,4461,0001705
2598622,1874,0000057
2598624,2777,0002410
2598625,5859,0002137
2598626,179,0001968
2598627,4461,0000974
2598628,1922,0001130
2598629,5859,0001285
2598631,29680,0001456
2598634,2396,0001981
2598635,4461,0001637
2598636,2990,0002285
2598637,387,0001638
2598638,99791,0002148
2598639,27400,0001485
2598640,7100,0001886
2598641,440,0001516
2598644,3320,0002129
2598646,27800,0000007
2598648,1361,0001182
2598651,1560,0000029
2598652,53085,0001135
2598653,0309,0001702
2598655,7200,0000982
2598656,7140,0001486
2598657,99791,0001637
2598659,73300,0003129
2598660,1940,0001640
2598661,2396,0001648
2598662,5859,0000991
2598663,1922,0002347
2598664,387,0001690
2598665,387,0002518
2598666,7100,0001140
2598667,7100,0001231
2598669,5859,0001225
2598670,3320,0001891
2598672,3129,0001836
2598673,74910,0001677
2598675,70401,0001003
2598676,150,0001533
2598679,1361,0002081
2598681,1640,0002371
2598682,0309,0002389
2598683,2396,0002130
2598684,7140,0001492
2598685,1922,0002363
2598686,340,0000978
2598688,1844,0000029
2598689,1922,0001780
2598690,410,0002407
2598695,2859,0001231
2598701,2859,0004288
2598702,5859,0001587
2598704,179,0001237
2598706,5569,0001135
2598707,303,0001017
2598710,157,0002066
2598712,7100,0001969
2598713,2396,0002422
2598714,3320,0001017
2598717,2564,0000996
2598719,5716,0002110
2598721,1909,0001690
2598723,7159,0001130
2598726,99791,0001088
2598727,1521,0001135
2598729,7140,0002405
2598734,73300,0001322
2598735,1490,0000004
2598737,1649,0003126
2598738,29680,0000011
2598741,7200,0001365
2598747,5859,0001969
2598748,6960,0001090
2598750,387,0001689
2598754,1519,0001640
2598755,1940,0002010
2598756,2189,0002356
2598758,346,0002398
2598759,1519,0000029
2598768,5770,0001175
2598770,27800,0002107
2598772,1490,0001708
2598776,3320,0002028
2598777,188,0002356
2598780,70901,0002046
2598781,74910,0000165
2598785,179,0001295
2598786,7140,0001093
2598787,30723,0001891
2598788,27800,0001759
2598789,3320,0001016
2598790,1519,0002378
2598792,0309,0002097
2598794,33520,0001016
2598795,3310,0002741
2598796,1361,0001620
2598797,1940,0001236
2598800,185,0001088
2598803,99791,0002082
2598804,185,0001968
2598807,7140,0002018
2598808,346,0000013
2598809,2396,0001579
2598810,70901,0001456
2598811,2564,0001398
2598812,1519,0001193
2598813,1429,0001736
2598814,73300,0004769
2598815,157,0002394
2598816,410,0002135
2598818,1909,0000959
2598819,179,0001072
2598821,0309,0000043
2598822,3320,0004452
2598823,74910,0001708
2598825,2777,0000949
2598828,73300,0001132
2598829,3320,0001492
2598830,33394,0001017
2598834,1490,0001679
2598840,3470,0002148
2598843,99791,0001182
2598845,1552,0002110
2598846,5770,0001194
2598847,3470,0002005
2598848,157,0002294
2598849,186,0001638
2598850,387,0002279
2598851,4461,0000948
2598853,1490,0001785
2598856,2396,0002019
2598857,303,0001891
2598859,1649,0002012
2598860,1649,0000975
2598861,188,0000996
2598862,5234,0000482
2598863,2396,0002517
2598864,303,0001264
2598865,084,0002107
2598867,410,0001637
2598868,36250,0001769
2598872,73300,0001437
2598873,5920,0001088
2598877,477,0001764
2598878,185,0000483
2598879,084,0000955
2598880,179,0000474
2598881,1649,0002407
2598883,1361,0001981
2598884,2396,0001535
2598887,2990,0002673
2598888,186,0001343
2598890,27400,0002414
2598895,179,0001135
2598896,0309,0002385
2598898,3320,0001866
2598900,5859,0001394
2598902,7100,0001986
2598907,5569,0002107
2598908,0309,0000473
2598914,7140,0001676
2598915,3459,0002102
2598916,1909,0001773
2598917,6960,0002204
2598918,346,0002275
2598919,7100,0002048
2598920,5790,0001988
2598921,346,0000011
2598922,7140,0002497
2598924,387,0002418
2598927,1519,0001103
2598928,295,0002037
2598930,7159,0002387
2598933,2990,0002298
2598936,5569,0001183
2598937,1909,0001677
2598938,5859,0001814
2598939,3470,0000988
