,ANAT,DIAG
2595864,157,0001064
2595865,2396,0001647
2595870,1429,0002384
2595871,1519,0000211
2595873,295,0001017
2595874,5770,0001264
2595875,179,0000042
2595877,1830,0001295
2595880,1560,0001264
2595882,2449,0002516
2595886,29680,0002037
2595887,2859,0001007
2595890,99791,0001135
2595893,1490,0001597
2595894,1429,0001821
2595895,1361,0001017
2595898,365,0001986
2595901,346,0002361
2595902,346,0001636
2595904,1490,0001352
2595907,3320,0001887
2595909,36250,0001985
2595911,1940,0001140
2595912,410,0001398
2595914,53085,0002365
2595916,7200,0001465
2595917,33394,0000955
2595919,6960,0001484
2595922,3459,0002129
2595923,1922,0001785
2595924,084,0002405
2595925,387,0002282
2595929,0309,0001322
2595936,365,0001776
2595937,1649,0002016
2595938,1490,0000483
2595941,74910,0003685
2595943,5234,0000974
2595944,387,0002226
2595946,2990,0002129
2595951,1361,0002012
2595957,7140,0001463
2595961,410,0002523
2595962,440,0001404
2595963,150,0000483
2595965,99791,0004535
2595966,99791,0001000
2595967,157,0002466
2595969,5790,0002466
2595971,3470,0002707
2595972,1830,0000922
2595974,7159,0002497
2595975,73300,0001710
2595977,2396,0002500
2595978,1490,0001831
2595979,7140,0002481
2595980,1640,0002012
2595981,1361,0002298
2595982,1922,0001886
2595986,2396,0001638
2595988,2396,0001017
2595990,7100,0002097
2595991,179,0003889
2595994,74910,0002418
2595995,340,0002707
2595996,2396,0001986
2595997,0461,0002363
2595999,188,0002385
2596002,1519,0000483
2596003,1922,0002606
2596004,73300,0002347
2596009,5569,0002294
2596012,74910,0001818
2596013,477,0000011
2596014,1844,0000057
2596022,2449,0000991
2596025,346,0001627
2596026,1429,0001691
2596028,179,0001008
2596029,1519,0002368
2596030,5770,0000178
2596036,1649,0001103
2596037,1560,0002110
2596038,3051,0001891
2596039,99791,0002386
2596041,1429,0001833
2596044,3470,0001891
2596052,99791,0001285
2596058,2189,0002030
2596060,346,0001021
2596061,5790,0002384
2596062,70901,0001711
2596063,99791,0002450
2596064,365,0000966
2596066,4461,0001394
2596067,33520,0000010
2596068,1429,0000482
2596073,1940,0001072
2596075,3320,0000955
2596076,1490,0003126
2596077,340,0001323
2596079,1640,0000007
2596081,33520,0002037
2596086,51631,0001004
2596087,1519,0001194
2596088,3320,0001896
2596091,1922,0002361
2596096,1552,0000922
2596097,440,0002107
2596098,185,0002367
2596099,1909,0001620
2596101,1560,0002107
2596102,440,0001406
2596104,99791,0001638
2596105,7200,0002137
2596109,7140,0001090
2596110,7140,0001744
2596113,477,0001004
2596118,1619,0001737
2596119,387,0000043
2596120,1619,0002418
2596122,387,0001352
2596125,4461,0002097
2596128,99791,0001981
2596129,1519,0002107
2596130,53085,0001970
2596131,5770,0002365
2596136,5859,0000946
2596137,33394,0002378
2596139,1429,0001567
2596140,303,0001148
2596141,365,0001711
2596144,410,0000948
2596145,346,0001908
2596146,3459,0002130
2596147,410,0002099
2596148,6060,0000999
2596149,1909,0000970
2596153,157,0002110
2596154,1922,0001896
2596156,2859,0002516
2596158,2777,0000989
2596161,1830,0000995
2596162,27400,0001365
2596163,2449,0004535
2596164,1874,0001821
2596165,2859,0000946
2596167,99791,0000011
2596169,1909,0001825
2596170,1490,0001650
2596171,365,0001620
2596172,5859,0000056
2596174,0309,0001323
2596175,2564,0000995
2596176,1840,0000483
2596177,99791,0002351
2596179,2396,0002028
2596180,33520,0001884
2596183,7140,0002398
2596186,6960,0001490
2596187,7140,0002205
2596191,410,0002146
2596192,1649,0002081
2596195,1909,0000941
2596196,1649,0001759
2596197,2189,0000993
2596199,7100,0000946
2596200,0461,0000955
2596201,99791,0002410
2596202,1909,0003129
2596204,303,0000178
2596206,179,0001296
2596209,7100,0004452
2596211,99791,0001017
2596212,7200,0001676
2596213,0461,0002240
2596220,5920,0000056
2596221,340,0001896
2596222,1909,0001760
2596223,340,0001577
2596226,3320,0002707
2596227,4461,0002523
2596232,5790,0001007
2596233,2396,0000941
2596235,1490,0001744
2596236,7159,0001479
2596237,1940,0001237
2596240,33520,0002240
2596243,7140,0002387
2596245,295,0002673
2596246,5790,0001135
2596249,1490,0001678
2596250,1519,0001744
2596251,73300,0002228
2596258,2859,0002107
2596260,7159,0001470
2596261,74910,0001690
2596263,3310,0001981
2596264,1922,0000988
2596266,185,0000989
2596267,3051,0000955
2596271,477,0002097
2596273,1535,0001135
2596275,7100,0000977
2596276,295,0001891
2596277,7159,0001486
2596278,1830,0000993
2596280,1922,0001815
2596283,3320,0001236
2596284,3320,0002148
2596285,365,0001768
2596287,74910,0000004
2596289,33394,0000026
2596291,7200,0000211
2596292,2859,0000989
2596294,1649,0001884
2596295,7140,0001832
2596299,186,0002512
2596300,295,0001089
2596302,5569,0001182
2596303,2396,0004727
2596304,410,0001533
2596305,2777,0002523
2596308,1892,0000056
2596309,2564,0002523
2596310,410,0004535
2596311,179,0000211
2596313,27400,0001490
2596314,7100,0002137
2596315,2449,0001343
2596317,36250,0000053
2596318,7100,0001744
2596319,1830,0001103
2596320,1844,0000996
2596322,27800,0001988
2596323,3459,0001649
2596324,2564,0002522
2596325,3320,0004535
2596326,3310,0001017
2596327,1649,0002046
2596328,150,0000029
2596329,1619,0000483
2596330,3310,0001771
2596331,303,0001343
2596332,1560,0001175
2596334,303,0001970
2596335,1640,0001587
2596336,477,0002185
2596337,7200,0001464
2596338,2449,0001132
2596339,2859,0001627
2596342,1892,0001008
2596343,7100,0002384
2596344,3310,0000011
2596345,1552,0000211
2596346,295,0002405
2596347,2396,0002361
2596349,2564,0002369
2596350,5569,0002394
2596351,2396,0001908
2596352,477,0001762
2596353,99791,0001986
2596357,27800,0001398
2596358,1922,0002413
2596359,2396,0001577
2596361,73300,0001486
2596363,1490,0001646
2596364,0309,0001148
2596369,346,0002360
2596372,7159,0002481
2596373,33520,0002606
2596376,346,0002410
2596378,7200,0001467
2596380,3470,0001890
2596382,1940,0001184
2596384,1830,0002411
2596385,31401,0001836
2596386,7159,0001461
2596387,0309,0001324
2596388,7159,0001488
2596391,3459,0002385
2596394,340,0002925
2596396,150,0002365
2596398,1490,0001723
2596399,99791,0002053
2596400,2564,0003889
2596401,2396,0002037
2596402,303,0001322
2596403,33394,0002298
2596410,1649,0002040
2596411,2859,0001970
2596412,477,0001716
2596413,7200,0001486
2596414,1640,0000483
2596415,440,0001532
2596416,186,0000029
2596418,99791,0001673
2596423,179,0000002
2596425,2990,0002405
2596426,2396,0001724
2596427,2396,0002240
2596429,1552,0002107
2596433,179,0002378
2596435,7159,0001490
2596437,7159,0001465
2596439,346,0002148
2596440,30723,0002410
2596442,2859,0002390
2596444,1519,0001971
2596445,346,0001460
2596447,27400,0002018
2596450,3320,0001805
2596451,33520,0002298
2596452,7140,0001469
2596453,346,0001676
2596454,2396,0001646
2596455,1909,0000483
2596456,7200,0002347
2596457,1361,0001796
2596459,3310,0001579
2596460,179,0000993
2596464,1640,0001585
2596465,410,0002522
2596466,51631,0002012
2596467,477,0001827
2596470,2449,0002107
2596471,387,0001860
2596472,1519,0000042
2596473,295,0000988
2596474,340,0002286
2596475,365,0001773
2596476,2396,0000007
2596479,1552,0001970
2596482,5859,0000989
2596483,1874,0002382
2596486,185,0000057
2596488,52100,0000165
2596490,1830,0000029
2596493,365,0002521
2596494,7140,0001831
2596495,1519,0001638
2596498,188,0002411
2596499,346,0001717
2596500,1429,0001744
2596501,1560,0001970
2596502,150,0000975
2596504,70401,0002073
2596505,1909,0001619
2596508,346,0001148
2596509,3459,0001016
2596510,387,0001756
2596511,387,0001840
2596513,27800,0001708
2596514,36250,0000941
2596515,477,0000483
2596516,2859,0003129
2596517,31401,0002037
2596518,410,0001361
2596521,7159,0004452
2596523,2990,0000955
2596524,1909,0001776
2596526,3459,0002148
2596528,5234,0001567
2596532,1909,0001818
2596533,1844,0002060
2596534,7140,0001837
2596535,1640,0002048
2596540,52100,0004288
2596541,1429,0001716
2596542,340,0000941
2596543,186,0001968
2596544,1361,0001637
2596545,179,0002450
2596548,0309,0001827
2596550,1640,0002385
2596551,27800,0002410
2596552,5716,0001970
2596554,1619,0001690
2596555,3459,0001532
2596556,3470,0002298
2596557,340,0001016
2596558,1922,0002422
2596559,3459,0001148
2596560,1519,0001007
2596561,1649,0001132
2596563,346,0001981
2596566,3470,0001577
2596567,3320,0002398
2596568,4461,0001398
2596569,2564,0000007
2596570,0309,0001460
2596572,74910,0001733
2596573,1490,0001044
2596575,2396,0001678
2596577,5859,0001638
2596578,36250,0001776
2596580,5790,0001971
2596582,5859,0001988
2596585,1840,0000057
2596586,1830,0002378
2596587,7159,0001485
2596589,387,0002384
2596590,346,0002413
2596591,31401,0001016
2596593,3320,0002102
2596596,5770,0002110
2596600,3459,0001814
2596602,3129,0000011
2596603,1649,0002228
2596606,410,0002349
2596608,2189,0002450
2596609,2396,0002363
2596611,1535,0000483
2596613,99791,0001980
2596614,27800,0001004
2596615,6960,0002522
2596616,0461,0001969
2596617,1490,0002377
2596618,1490,0001677
2596620,0309,0001031
2596623,1909,0001786
2596624,295,0001887
2596625,1490,0002413
2596626,5859,0001008
2596629,387,0001648
2596634,1619,0001685
2596637,33520,0000026
2596641,6960,0002481
2596642,5859,0000057
2596643,7200,0002363
2596644,2990,0001908
2596645,33520,0002385
2596646,3459,0001780
2596647,99791,0001232
2596648,7140,0002389
2596649,1552,0001103
2596653,6060,0001000
2596654,2990,0002028
2596655,3320,0002298
2596656,99791,0002441
2596658,33394,0000010
2596659,0309,0001492
2596661,1619,0001723
2596663,99791,0002060
2596664,185,0000998
2596666,150,0001737
2596667,27800,0001007
2596668,70901,0001037
2596669,5716,0001175
2596670,70901,0002073
2596673,1519,0001970
2596674,2777,0002522
2596675,4461,0002110
2596676,1940,0001235
2596681,27400,0002387
2596682,1940,0002055
2596685,179,0002365
2596687,440,0002103
2596688,346,0001649
2596689,73300,0001708
2596690,2189,0003889
2596691,150,0000977
2596694,1874,0000989
2596695,74910,0001616
2596696,5790,0001088
2596698,7159,0001090
2596703,1521,0001264
2596704,5859,0001980
2596706,2859,0000991
2596707,2564,0000038
2596708,5234,0001764
2596709,5859,0001637
2596710,6060,0000473
2596711,410,0001638
2596712,295,0001690
2596715,5770,0001174
2596717,410,0000946
2596718,440,0001533
2596720,1490,0001685
2596721,5790,0001182
2596724,2189,0000057
2596726,2859,0002481
2596727,1552,0001640
2596731,1490,0001756
2596733,1560,0002378
2596734,1429,0000483
2596736,0309,0001681
2596739,186,0001300
2596740,30723,0001887
2596743,74910,0001684
2596745,29680,0001235
2596746,5920,0001285
2596747,33394,0002240
2596749,1552,0001283
2596750,33394,0001460
2596752,1552,0001072
2596754,3459,0001456
2596755,0309,0002398
2596757,27400,0001479
2596758,3051,0004535
2596760,365,0000053
2596763,179,0000949
2596768,33520,0002103
2596770,1552,0001143
2596771,33394,0002707
2596772,1909,0001796
2596773,477,0002048
2596774,70901,0001003
2596775,3310,0000922
2596776,74910,0000922
2596777,70901,0002067
2596778,1490,0001762
2596782,410,0000011
2596783,1429,0001734
2596785,440,0002523
2596786,340,0000955
2596787,74910,0003216
2596788,1909,0001711
2596789,7100,0000043
2596790,3459,0002275
2596791,7140,0001484
2596792,2189,0000002
2596794,7100,0002405
2596795,1429,0003216
2596796,7140,0001494
2596798,477,0002453
2596799,0461,0002129
2596800,410,0002353
2596804,6960,0001705
2596805,1361,0001072
2596806,27800,0002110
2596807,295,0001016
2596808,6960,0001470
2596811,303,0000988
2596815,440,0000978
2596818,1909,0001744
2596820,3051,0001836
2596821,1519,0002390
2596824,1649,0001515
2596825,340,0001324
2596828,27800,0002523
2596830,1361,0001300
2596831,340,0002162
2596832,1490,0000974
2596834,27400,0002398
2596835,3320,0002240
2596838,3320,0001910
2596839,29680,0000955
2596840,7140,0001488
2596842,340,0002413
2596844,185,0000999
2596845,2396,0002223
2596847,1429,0001649
2596848,084,0001044
2596850,51631,0002299
2596851,346,0001780
2596852,7140,0001464
2596853,2859,0001310
2596855,477,0001690
2596856,1640,0002205
2596861,1490,0001645
2596862,346,0001598
2596863,346,0001070
2596864,365,0001775
2596865,5234,0001710
2596866,303,0002385
2596867,1429,0001647
2596868,0309,0000010
2596869,1909,0001643
2596870,1909,0001768
2596871,7140,0001736
2596873,99791,0001231
2596875,7140,0000043
2596878,33520,0002398
2596880,1909,0001456
2596881,3459,0002360
2596885,150,0001759
2596888,33520,0001597
2596889,5716,0001283
2596890,410,0002081
2596891,7200,0001988
2596892,4461,0001986
2596893,1830,0000996
2596894,2777,0002113
2596897,99791,0000013
2596898,346,0000010
2596900,179,0000056
2596901,4461,0002135
2596903,410,0001530
2596909,2189,0001295
2596912,27800,0004535
2596913,188,0000056
2596915,5790,0000483
2596917,70401,0001821
2596918,346,0003129
2596920,7140,0001007
2596923,5234,0001736
2596924,387,0002223
2596925,99791,0002054
2596926,2449,0000948
2596927,99791,0002012
2596928,7200,0002228
2596930,33394,0002385
2596933,31401,0002204
2596934,7140,0001479
2596936,410,0001394
2596938,33520,0001148
2596940,6960,0002097
2596942,33520,0001323
2596944,99791,0002385
2596948,52100,0001836
2596950,5859,0002113
2596953,2564,0001013
2596954,7159,0006849
2596955,7100,0002522
2596958,33394,0002387
2596961,5859,0000178
2596966,1361,0001587
2596967,0309,0001645
2596968,99791,0000948
2596971,477,0001707
2596972,2564,0000922
2596975,1429,0001733
2596976,0309,0000004
2596977,1560,0002294
2596978,7159,0001437
2596983,346,0002363
2596984,1844,0000002
2596985,5716,0001174
2596986,99791,0002162
2596987,4461,0002165
2596989,188,0000483
2596990,1909,0001905
2596994,295,0001456
2596996,1429,0001684
2597001,5770,0001971
2597006,303,0002107
2597007,30723,0002130
2597008,5234,0001723
2597009,340,0000966
2597011,0309,0001021
2597015,74910,0001697
2597018,5569,0001007
2597020,3320,0002389
2597021,2189,0000995
2597024,346,0000033
2597025,346,0001646
2597032,2777,0001530
2597035,1361,0000165
2597036,303,0004535
2597038,1830,0000992
2597039,3459,0002707
2597040,440,0001627
2597041,7159,0002414
2597043,33394,0002410
2597044,346,0001827
2597045,27800,0001460
2597049,1490,0002397
2597050,1830,0000991
2597051,33520,0001017
2597052,1830,0000038
2597054,1361,0001016
2597056,440,0004535
2597057,7200,0001090
2597059,440,0001530
2597061,410,0002165
2597063,346,0001597
2597067,477,0002517
2597068,1909,0000053
2597069,31401,0001456
2597072,4461,0002352
2597073,2777,0001986
2597075,1490,0001694
2597079,477,0001750
2597080,303,0001780
2597081,410,0002134
2597082,33520,0001103
2597083,2859,0001225
2597088,1830,0001866
2597090,1940,0000007
2597092,2449,0002046
2597094,340,0001599
2597095,5859,0000985
2597098,440,0002405
2597100,1429,0001690
2597101,5234,0001456
2597103,5859,0002522
2597104,1830,0000949
2597106,27400,0002389
2597108,303,0000991
2597109,346,0001016
2597110,5859,0002060
2597111,188,0000989
2597112,5569,0000483
2597113,0309,0001711
2597114,2859,0001971
2597115,1640,0000029
2597116,2990,0002275
2597117,27400,0004452
2597118,5234,0001836
2597119,2859,0002066
2597124,440,0001184
2597127,303,0001324
2597128,5234,0000483
2597133,410,0001986
2597135,99791,0002349
2597138,1909,0001821
2597139,2396,0000955
2597140,1940,0002054
2597142,7200,0000043
2597143,73300,0002481
2597144,5716,0001135
2597145,2396,0001887
2597147,33520,0001460
2597154,2396,0001905
2597155,6060,0000998
2597160,5716,0002394
2597161,1519,0001981
2597162,1361,0000988
2597163,3459,0002410
2597164,2396,0001676
2597166,2564,0001295
2597169,340,0000010
2597171,1649,0002185
2597172,99791,0001228
2597173,7140,0002384
2597176,3320,0001021
2597177,346,0001532
2597178,410,0001980
2597179,33520,0001494
2597183,27800,0002522
2597184,3320,0002410
2597185,1940,0002081
2597188,1490,0001070
2597189,5859,0002481
