,DIAG,SYMP
2593203,99791,7823
2593206,7100,7910
2593210,36250,37942
2593214,340,34400
2593218,2396,78093
2593219,7140,37946
2593226,346,72885
2593247,1640,28731
2593252,2449,78341
2593254,3470,32713
2593255,1361,7840
2593260,2396,38914
2593261,3320,7813
2593262,3129,317
2593272,1521,7897
2593274,1519,28731
2593275,1649,47830
2593276,1909,36841
2593286,74910,7825
2593288,5569,7897
2593292,33520,79902
2593303,33520,78451
2593304,365,36800
2593308,1490,7802
2593313,7100,78650
2593314,1874,7823
2593316,1922,59654
2593317,2449,7580
2593330,1519,643
2593332,3470,3449
2593335,340,7843
2593336,6960,7231
2593338,1922,7235
2593340,29680,317
2593343,1490,3899
2593344,340,3682
2593351,346,38842
2593357,1361,78194
2593358,3320,7868
2593359,7200,71940
2593360,7140,7871
2593362,4461,413
2593372,1490,3449
2593374,5920,3441
2593375,31401,31501
2593376,477,34981
2593386,7100,3682
2593390,340,338
2593395,3470,7801
2593396,27800,78321
2593405,5920,7817
2593406,3310,32731
2593409,52100,7580
2593413,51631,7871
2593414,387,38830
2593416,185,78791
2593421,303,2982
2593427,7140,7231
2593429,346,78601
2593439,365,36846
2593440,188,7881
2593448,5859,59654
2593451,52100,78322
2593460,84,78060
2593463,346,7840
2593470,1909,36854
2593471,150,78321
2593473,4461,78060
2593477,36250,36854
2593484,295,78842
2593487,2990,7580
2593489,5569,56400
2593500,51631,32723
2593501,1361,3891
2593504,33394,32713
2593505,33520,78605
2593506,365,37941
2593508,5920,78900
2593509,73300,3449
2593510,3470,32731
2593514,346,36841
2593515,7100,3429
2593516,7100,2982
2593520,7140,71940
2593531,1922,7813
2593535,1361,78451
2593536,33394,72982
2593539,365,78261
2593548,2859,5296
2593551,150,79902
2593558,2859,7912
2593560,7159,7231
2593561,387,3899
2593562,29680,78001
2593566,1649,78650
2593568,410,78650
2593569,5770,78791
2593573,29680,78842
2593579,340,36854
2593586,387,38812
2593588,179,7780
2593589,5920,78060
2593593,186,7041
2593595,99791,7840
2593596,1552,34882
2593598,29680,32713
2593599,1649,78060
2593601,33394,78057
2593602,188,59651
2593605,295,78052
2593608,346,7802
2593611,150,7871
2593613,340,78831
2593620,3459,392
2593621,1940,7041
2593622,3310,78003
2593627,2396,38861
2593628,3459,317
2593629,1940,78262
2593634,1892,7897
2593635,7200,7823
2593636,1909,7580
2593637,157,5363
2593642,2859,5780
2593647,2189,6253
2593651,2449,78842
2593654,340,7813
2593656,70901,3891
2593659,340,3891
2593663,346,37946
2593666,3310,78052
2593669,387,38610
2593672,295,78093
2593676,1649,7825
2593679,2859,7825
2593683,1429,3890
2593684,2449,317
2593685,3459,37872
2593693,2189,78650
2593694,185,78262
2593695,2859,78603
2593696,365,36811
2593701,7140,3429
2593711,1909,36281
2593712,340,72982
2593713,73300,78322
2593720,31401,78093
2593722,340,32713
2593725,340,3882
2593733,33520,32721
2593744,52100,27802
2593747,3470,32723
2593752,73300,338
2593755,36250,3686
2593756,1490,32723
2593762,387,78194
2593770,188,78791
2593775,3459,78603
2593783,157,2982
2593784,461,37775
2593789,3320,59651
2593790,5569,78060
2593791,186,36846
2593793,31401,317
2593794,31401,33394
2593797,70901,3899
2593798,186,7830
2593806,157,5780
2593807,5790,78341
2593808,1519,7823
2593810,3310,7801
2593816,1361,3882
2593817,5859,7823
2593818,346,36846
2593825,1830,78900
2593827,7200,7245
2593830,295,31501
2593832,346,4377
2593834,3310,30012
2593837,70901,317
2593844,309,3449
2593848,5770,36281
2593849,2564,78321
2593855,73300,3441
2593860,461,7813
2593862,1519,5363
2593867,2859,7823
2593869,340,3449
2593870,27400,78060
2593872,179,78791
2593875,7159,338
2593879,51631,79902
2593881,3320,4580
2593887,340,59651
2593891,2396,30012
2593892,5859,7994
2593898,3459,4377
2593901,1490,78605
2593906,2396,3682
2593908,5770,3382
2593909,2449,7813
2593913,1840,78830
2593914,5859,33394
2593915,6960,338
2593916,295,2931
2593917,1922,338
2593918,3320,78451
2593936,1521,5363
2593937,1874,7881
2593945,2396,7961
2593952,99791,4580
2593953,2859,3891
2593969,1619,7823
2593973,185,338
2593974,340,38914
