,SYMP,DRUG
1395,5997,P01BD
1396,78605,N05AA
1397,7840,C10AA
1398,78550,N05AD
1399,78900,S01EB
1400,78605,C08CA
1401,78550,L01BC
1402,7907,J01CA
1403,7825,J02AC
1404,78550,G03CA
1405,56400,N05CD
1406,7823,C03AA
1407,7231,R03AC
1408,2875,C09AA
1409,78900,C07AG
1410,7823,J01CA
1411,78900,N03AG
1412,5780,N03AG
1413,78906,R03DA
1414,78791,L01CB
1415,78820,A02BA
1416,78052,J01MA
1417,6959,C08DB
1418,586,J01DC
1419,7821,L01XX
1420,7825,N05AH
1421,7840,V03AB
1422,7872,N06DA
1423,37520,G04BE
1424,4589,R02AX
1425,78820,L01AC
1426,78550,N02CC
1427,78605,R03AC
1428,71690,A02BC
1429,56400,N05CA
1430,5997,A07AA
1431,2699,J05AP
1432,78650,C09AA
1433,4279,A10BX
1434,78605,N06AB
1435,27651,N06AB
1436,7821,D05AX
1438,78650,C04AD
1439,7802,L01XG
1440,5997,B02AA
1441,7821,A03FA
1442,5119,N04BC
1443,78791,C10AA
1444,7907,J01CA
1445,2875,C03AA
1446,78550,C07AB
1448,7863,C01BD
1449,7895,L01CE
1450,7823,M01AC
1451,78791,G02AD
1452,7295,N04BC
1453,7821,J05AP
1454,2875,C07AB
1455,78052,J01MA
1456,2875,C03CA
1457,586,N02AX
1458,586,M03BX
1459,78791,G04BE
1460,56400,C09CA
1461,7840,N06AX
1462,7821,A02BA
1463,78900,J01DE
1464,7295,J05AJ
1465,586,A05AA
1466,7872,N03AX
1468,78900,N06AA
1469,7295,N02CC
1470,7840,N04BX
1471,5789,L01BC
1472,78900,L01EA
1473,71690,N06AB
1474,72885,C03CA
1475,7825,N05AX
1476,4111,A10BK
1477,7802,N02CC
1478,7823,N05BA
1479,78052,S01AA
1480,7812,N05AE
1481,4589,A09AB
1483,7840,R06AE
1484,72885,L01XX
1485,78650,N03AF
1486,7840,A02BA
1488,7823,G04BE
1489,7821,H02AB
1490,5849,M03BX
1492,78550,N03AX
1493,7231,L04AD
1494,37520,N06AA
1495,78605,J01MA
1496,37520,C08CA
1497,78900,J05AE
1498,56400,G04BD
1499,78791,L01XG
1500,5789,G02CC
1501,7823,G04CA
1502,7823,N06AA
1503,78791,M01AH
1504,7840,J02AX
1506,4111,L01CD
1507,7821,N06AB
1508,7242,N02AX
1509,7840,N03AX
1510,3899,G04BE
1511,78057,N05BA
1512,4279,C01CA
1513,7840,C01CE
1514,78791,C03AA
1515,56400,B01AF
1516,7821,L01DB
1517,78052,N02BF
1518,72885,C03BA
1519,3709,J01MA
1520,5997,N06AB
1521,7840,A03FA
1522,37520,R06AX
1524,56400,C03BA
1525,7802,N02CC
1526,72885,C09CA
1527,56400,D11AA
1528,78791,V03AF
1529,71690,N04BC
1530,4279,N03AF
1531,56400,N07XX
1532,78605,N06BA
1533,7802,N04BX
1534,78900,L01BC
1535,78900,R03DA
1536,78791,A10BB
1537,7840,A01AC
1538,56400,A02BC
1539,78194,C10AA
1540,72885,C08DB
1541,78605,N07XX
1542,78791,J05AF
1543,7840,P01AX
1544,7840,N02AA
1545,72885,N02BE
1546,78791,B01AX
1547,78605,C07AA
1548,78605,L01DC
1549,5997,B01AA
1550,7823,S01EA
1551,78605,C07AA
1552,7821,C07AB
1553,6959,N05BA
1554,4589,N02CX
1555,586,A10BK
1556,56400,A02BC
1557,586,C03CA
1558,3689,A02BC
1559,78791,N06BA
1560,586,J01DD
1561,586,N03AG
1562,78650,N05CD
1563,78900,C03DB
1564,4279,C09CA
1566,78052,L02BG
1567,5789,N06DA
1568,56400,C07AB
1570,78550,M05BA
1571,7863,N05AX
1572,7821,C09CA
1573,78791,J01EA
1574,7840,N06BA
1575,7802,L01BA
1576,7840,S01FA
1577,7823,J01MA
1578,7840,M02AA
1579,2875,L01XX
1580,78900,N05AE
1581,5119,L01CE
1582,72885,N02AA
1583,7821,S02AA
1584,78550,N02CX
1585,4589,V03AB
1586,7823,R06AX
1587,7231,L01DB
1588,56400,B01AC
1589,7802,G02AD
1590,72885,C01CA
1591,4279,L01EA
1592,7840,D04AA
1593,9916,N06AB
1594,72885,H05BX
1595,4589,L01XX
1596,78550,G04BD
1597,6959,D06BB
1598,78605,N05AX
1599,4589,C03CA
1600,5997,M02AA
1601,4589,C09AA
1602,7802,S02BA
1603,2875,N05AX
1604,72885,J02AC
1605,78605,N02BF
1606,37520,C02DB
1607,7872,L01BC
1608,7907,J01CE
1609,5849,J05AF
1610,5789,J01MA
1612,2699,G03CA
1613,7823,G03CA
1614,78791,N05AB
1615,37520,S01EC
1617,2699,N04BC
1618,37520,N02CC
1619,56400,H05BX
1620,7821,C03CA
1621,4279,D11AX
1622,7823,H02AB
1623,78052,N07BC
1624,7823,B01AC
1625,3689,C01EB
1626,78900,N06AA
1627,78605,L01CE
1628,7295,V08CA
1629,78791,N05CF
1630,5780,N04BD
1631,78057,N06BA
1632,78650,L01BC
1633,7840,R02AX
1634,2699,J05AJ
1635,78550,A03AA
1636,56400,N05AX
1637,6959,J01CA
1638,78052,P01BA
1639,78052,M01AG
1640,78052,M02AA
1642,9916,N05AH
1643,78791,C09AA
1644,3709,N05AH
1645,7821,C09CA
1646,7812,L01AX
1647,56400,L01BC
1648,7821,A07DA
1649,7840,M03BA
1650,586,L01XX
1651,71690,C08CA
1652,3689,C01BB
1653,3709,A07EA
1654,4279,N06AA
1655,4589,N06AA
1656,72885,N05CD
1657,72885,S01GX
1658,7872,N02CC
1659,78605,N06DA
1660,2699,N02BF
1661,7295,D05AX
1662,7802,R03AA
1663,5849,C09CA
1664,4589,G04BE
1665,7840,C09AA
1666,4589,L01BC
1667,78605,L01BC
1668,5789,C03CC
1669,7231,R03BA
1670,27651,B05CB
1671,7840,L01BB
1672,78900,R03CC
1673,27651,L01DB
1674,3689,M01AC
1675,7823,R03DC
1676,7231,N06AX
1677,7872,N05AE
1678,5997,C02DB
1679,7840,G04BE
1680,4589,C01CA
1681,2699,R05DA
1682,78550,L01EB
1683,7821,C05AE
1684,2875,N03AF
1685,78791,N02CC
1686,2699,N02AA
1687,2875,C02DB
1688,7863,R03DC
1689,72885,C07AB
1690,78791,M03CA
1691,5849,L01AA
1692,7872,N05AE
1693,9916,N05AE
1694,78052,M03BX
1695,586,J01FA
1696,5789,C08DB
1697,7840,G02AD
1698,6959,R01AX
1700,78605,N07XX
1701,6959,A10BB
1702,78820,N04BB
1703,78550,R05DB
1704,78052,N05CD
1705,4589,N06AX
1706,7821,J01MA
1707,78650,J01MA
1708,78900,N05AH
1709,71690,G04CA
1710,78791,J05AG
1711,9916,N03AA
1712,78791,N06AX
1713,37100,S01BC
1714,78052,C08CA
1715,586,L01XA
1716,78900,V03AC
1717,78791,A07AA
1718,78052,N06AX
1719,7825,A07EC
1720,7802,M05BA
1721,7840,G03AD
1722,56400,N07BB
1723,2875,C01BA
1724,7840,H05BX
1725,7802,S02AA
1726,5997,C01BC
1727,78550,N05CF
1728,7821,N02AA
1729,7895,L01XB
1730,72885,N07BC
1731,78820,N02AA
1732,5997,J05AE
1733,27651,A06AD
1734,7821,R05DB
1735,78900,N03AX
1736,586,M05BA
1737,56400,A03AB
1738,4589,C03CA
1739,72885,N05CF
1740,7823,C02CA
1741,7821,G03DA
1742,4589,D06AX
1743,78550,C09AA
1744,7821,C09AA
1745,7821,N03AG
1746,4589,N07AB
1747,586,G02CC
1748,7802,R03BA
1749,7825,L01CB
1750,78052,L01XB
1751,586,N06DA
1752,78650,A08AB
1753,586,L01EA
1754,2875,L01XG
1755,78791,N06AB
1756,7872,J01MA
1757,7821,C08DB
1758,7802,C09AA
1759,4589,R03CC
1760,78605,N02CC
1761,3689,A10BG
1762,2875,J02AX
1763,586,C01BC
1764,5997,N04BD
1765,5789,N04BC
1766,78605,J01CE
1767,586,J01DB
1768,7231,C07AB
1769,56400,J05AG
1770,78052,N06AX
1771,2875,R06AX
1772,78052,A05AA
1773,7821,G03BA
1775,7821,A10BK
1777,78900,N04BC
1778,7802,N03AF
1779,78791,D10AF
1780,4589,M01AG
1781,78550,G04BD
1782,56400,C01CA
1783,7840,A04AD
1784,7802,S01EB
1785,78791,N06AB
1786,5119,N06AB
1787,78605,M01AC
1788,3899,N03AX
1789,78650,J01MA
1790,5997,C08CA
1791,78605,G01AA
1792,7840,L04AX
1793,78900,J05AE
1794,78052,L01CA
1795,72885,S01AA
1796,78820,C01CA
1798,78900,D09AA
1799,78052,C01DA
1800,7821,C03AA
1801,586,J05AE
1802,7802,N02BA
1803,6959,J01DE
1804,78900,J05AB
1805,72885,N06AB
1806,2699,N03AF
1807,3689,N05CF
1808,7840,L01AC
1810,7802,N04BC
1811,7823,R03BA
1812,7872,N06AB
1813,78900,N06DA
1814,2699,L01AD
1815,7821,L01XX
1816,2699,A10BH
1817,7840,S01JA
1818,7840,S01GX
1819,5997,S01EC
1820,78791,M05BA
1821,5997,S01BC
1822,78791,J05AG
1823,78605,C01BA
1824,37520,L04AD
1825,7802,G04BD
1826,78900,J02AX
1827,78650,N07BB
1828,71690,D07AB
1829,78791,P01AB
1830,72885,D10AF
1831,78605,N02CC
1832,7812,N05AH
1833,78900,C03DA
1834,3899,N03AG
1835,78791,J01MA
1836,2699,J05AE
1837,7821,R07AX
1838,56400,C03AA
1839,586,A10BK
1840,7295,G04CA
1841,7821,N03AX
1843,5119,L01EA
1844,78900,N04BX
1845,2875,S02BA
1846,78550,R03AB
1848,7821,N04BC
1849,7812,L04AX
1850,5849,C09AA
1851,5997,J05AJ
1852,7907,J04AB
1853,4589,V04CX
1854,7872,J01MA
1855,6959,D09AA
1856,4589,A02BC
1857,5849,C07AB
1858,78052,R03DX
1859,72885,N05AB
1860,7295,J05AF
1861,4279,N05CF
1862,4279,C09AA
1863,2875,C03AA
1864,7840,L01EB
1865,78550,C01DA
1866,78550,N06AB
1867,78605,C09AA
1868,78820,R06AD
1869,2875,L01AD
1870,2699,A02BC
1871,5849,S01AA
1872,56400,J04AB
1873,7840,A07EC
1874,78791,D06BB
1875,586,N06AB
1876,78791,L01BA
1877,78550,L04AX
1878,72885,N03AX
1879,7872,M01AH
1880,71690,M01AC
1881,7821,S01EB
1882,7821,M03BX
1883,7821,G04CA
1884,78052,S03BA
1885,72885,N05AB
1886,56400,L01XB
1888,4279,N06BA
1889,5849,A06AG
1890,7821,C03DA
1891,78900,J04BA
1892,78650,J05AE
1893,3709,C07AA
1894,78791,J05AF
1895,5997,C01DA
1896,4279,N07XX
1897,4279,V03AB
1898,78791,D01AE
1899,7840,R03AC
1900,78052,N03AE
1902,7840,V04CX
1903,7823,N01BB
1904,78791,J01MA
1905,7840,S02AA
1906,7231,J01MA
1907,5997,N06DA
1908,2875,L01XB
1909,7821,N02CC
1910,7295,G04BD
1911,5780,M02AA
1912,7840,L01BB
1913,72885,R03AC
1914,78052,J02AC
1915,78605,A10BB
1916,78791,J01DB
1917,71690,N02CC
1918,71690,N05CF
1919,586,C10AB
1920,7840,J05AF
1921,78605,C09CA
1922,2699,N02BE
1923,2875,D11AX
1924,78900,M05BA
1925,7840,D07AC
1926,4589,N03AX
1927,4589,N06AB
1928,78906,R03DA
1929,78605,B02AA
1930,56400,A16AX
1931,78550,N06AX
1932,71690,N03AX
1933,7821,N05CF
1934,4589,G04BE
1935,2875,V03AC
1936,7823,L01AX
1937,72885,A03FA
1938,7840,G04BD
1939,7840,S01AA
1940,78052,M01AE
1941,78605,R01AA
1942,78820,N02AA
1943,78791,N05AX
1944,7823,L01XA
1945,7840,N03AG
1946,78791,C02DA
1947,2699,B03BA
1948,78906,J01MA
1949,2699,J01MA
1950,78052,C02KB
1951,78052,N06BA
1952,72885,J01MA
1953,7907,D10AF
1954,7823,C03AA
1955,7872,C08CA
1956,37520,L01EA
1957,78791,B01AC
1958,4279,C03BA
1959,2699,L01BC
1960,586,N05AH
1961,7802,L01DB
1962,5997,J01CF
1963,72885,P01AB
1964,7872,L01XG
1965,7231,L04AX
1966,7821,M01CC
1967,7821,J01DC
1968,7821,R03DA
1969,7872,N05BA
1970,2875,L01DB
1971,4279,N07BC
1972,7895,L01BC
1973,7840,M03BX
1974,78605,J01DC
1975,7872,N02CA
1976,56400,L01XX
1977,3689,N02AX
1978,78791,A10BF
1979,56400,C09CA
1980,2875,P01AX
1981,7823,S01EC
1982,72885,L01CE
1983,7872,A02BC
1984,4589,C03CA
1985,7821,G04BD
1986,5119,N04BC
1987,7840,L01AB
1988,7821,N07XX
1989,78791,G02AB
1990,3689,A02BC
1991,78791,C09AA
1992,9916,N02CC
1993,7295,J05AE
1994,78791,C07AB
1995,72885,V03AB
1997,78550,N05CD
1998,78605,J05AF
1999,72885,C10AA
2000,5997,J05AF
2001,5789,N06AX
2002,56400,D05AX
2003,78820,R03DA
2005,56400,L02BG
2006,78052,G03AD
2007,78900,D05AX
2008,4589,J05AF
2009,78791,C07AA
2010,5789,B01AC
2011,5997,G04BE
2012,4279,N02CC
2013,586,L01AA
2014,78550,J01AA
2015,7802,G02CC
2016,7821,N07XX
2018,6959,N02CC
2019,78605,N05AB
2020,7812,N03AG
2021,7872,B01AC
2022,7802,N02CC
2024,78791,C03CC
2025,78791,M05BA
2026,7295,J01MA
2027,78052,B01AX
2028,7802,N04BX
2029,78791,J01CF
2030,586,M02AA
2031,2699,J02AC
2032,7821,N02CC
2033,5781,J01DH
2034,7812,G03DA
2035,37520,S01EC
2036,4589,B02AA
2037,78605,N03AG
2038,4589,N05CM
2039,3899,C09AA
2040,2699,A10BB
2041,78900,M05BA
2042,7821,A07EA
2043,6959,C09AA
2044,78605,C01BB
2045,78791,A02BC
2046,78900,N05BA
2047,78605,B01AC
2048,78791,N06AA
2049,7812,N04BC
2050,78650,R07AX
2051,7872,N06AB
2052,7840,S01BC
2053,4589,N05AH
2054,78791,M01AC
2055,586,N03AA
2056,7872,L01BC
2057,3689,S01EE
2058,78052,N03AG
2059,5789,B01AC
2060,7823,N06BA
2061,4589,C01CA
2062,78605,J05AF
2063,7802,L04AD
2064,78052,M01AC
2065,78906,C07AG
2066,7802,N06AA
2067,27651,N06AX
2068,78791,J05AJ
2069,7823,C03BA
2070,7821,N02CC
2071,3899,J05AF
2072,7295,N06AB
2073,2875,C10AA
2074,56400,S01FA
2075,78605,R03DA
2076,2875,M01AX
2077,78550,N02AX
2078,78791,A02BA
2079,586,P01BB
2081,7802,C07AA
2082,586,J01MA
2083,6959,N01BB
2084,5849,A10BK
2085,78900,G04BD
2086,6959,L01BC
2087,2875,D06BB
2088,7840,C07AA
2089,4589,S01EB
2090,72885,J01DB
2091,7840,S01EE
2092,27651,G01AA
2093,78820,N07AA
2094,4589,A04AD
2095,5789,N02CC
2096,7821,J01CF
2097,6959,N02AA
2098,78791,A10BH
2099,27651,G02AD
2100,7821,N04BC
2101,7821,L01CA
2102,78052,L01XX
2103,2875,L01XX
2104,7840,C01BA
2105,4589,A03BA
2106,4589,C05AE
2107,2699,N06AX
2108,5119,N04BC
2110,7821,L01EA
2111,586,N06AX
2112,3899,L01AC
2113,78605,R06AX
2114,78550,M01AB
2115,7840,C01BB
2116,7907,J02AX
2117,2699,N06DA
2118,2699,L01BB
2119,5789,N05AX
2120,7821,B01AF
2121,78900,L01EA
2122,5997,N02CC
2123,7872,H05BX
2124,7802,N07XX
2125,78791,N05AH
2126,56400,A03BA
2127,2699,N03AX
2128,5997,J04AB
2129,7821,N04BC
2130,4589,S01EE
2131,3709,S01EE
2132,2699,L01BB
2133,78900,A02BC
2134,78900,N06AX
2135,78900,J05AJ
2136,7821,N05CA
2137,7872,V04CX
2138,5789,A05AA
2139,78605,J01MA
2140,3899,A07EC
2141,56400,N04BC
2142,586,N05BA
2143,2699,J02AX
2144,78605,B01AC
2145,7821,N02BA
2146,5780,A02BC
2147,7872,N06DA
2148,78650,C01DA
2149,78650,N06AA
2150,78605,L01EA
2151,3689,C05AE
2152,27651,S01GX
2153,2699,C08DB
2154,7821,J01DD
2155,5780,M02AA
2156,4279,N06AA
2157,72885,C04AD
2158,7895,L01AA
2159,5789,N03AG
2160,7821,C03BA
2161,7802,R06AX
2162,7821,L01BC
2163,7821,N03AG
2164,78900,N03AD
2165,56400,G03XB
2166,78791,N03AX
2167,7872,N02AA
2168,78052,N06DA
2169,7802,C09CA
2170,3689,N05CD
2171,56400,J02AC
2172,72885,S01EC
2173,78550,S01LA
2174,7840,C03CA
2175,7840,J05AJ
2176,72885,C03DA
2177,78550,N03AX
2178,78820,C01BC
2179,586,A07EC
2180,78900,J05AE
2181,6959,C03AA
2182,78900,J02AC
2183,27651,N04BC
2184,56400,C09AA
2185,78052,L01EA
2186,7295,N05CH
2187,4589,N04BC
2188,78900,J02AC
2189,78791,D05AX
2190,586,D06BB
2191,7821,D10AF
2192,2875,N07BB
2193,7802,N05CH
2194,56400,J01AA
2195,7231,N02BA
2196,7840,M01AC
2197,56400,L01CE
2198,2699,D06BB
2199,78900,A10BB
2200,27651,N06DA
2201,78900,N07BC
2202,78900,N03AX
2203,4589,L01AA
2204,7823,L01DB
2205,5780,N05AH
2206,5997,N02BA
2207,2699,N06DA
2208,78550,S01AA
2209,5789,S01AD
2210,78791,R06AB
2211,78052,C07AB
2212,7802,N05CF
2213,37520,N02CC
2214,4279,N06BA
2215,7840,C08CA
2216,7823,N06AA
2217,56400,L01AA
2218,586,N05AH
2219,37520,C07AB
2220,2875,A10BB
2221,7872,C10AD
2222,2875,N06AA
2223,7823,J05AG
2224,7840,S01BC
2225,3689,C03DB
2226,7295,C09AA
2227,78791,G02CC
2228,78052,G04BE
2229,56400,R06AX
2230,7295,B01AF
2231,4589,N06DA
2232,2875,N03AG
2233,5997,B01AC
2234,78791,S01EC
2235,5789,L01CD
2236,2875,C07AB
2237,5997,J05AG
2238,71690,L04AA
2239,4131,N02CC
2240,5789,C07AG
2241,78791,M05BA
2242,78791,N05BA
2243,78820,N06AA
2244,7802,J01MA
2245,78650,L01EA
2246,78650,N02AA
2247,5789,L01BC
2248,78791,V03AB
2249,7231,A07EA
2250,7821,A10BB
2251,9916,N03AG
2252,6959,M05BA
2253,7802,C09CA
2254,7840,C10AD
2255,7840,A10BH
2256,78900,N05BA
2257,9916,N05AX
2258,78605,N05AX
2259,5997,N04BC
2260,56400,A06AX
2261,3899,N04BC
2262,5780,N06AB
2263,4589,N05CA
2264,27651,A10BK
2265,5997,M01AB
2266,7840,L01XG
2267,78791,J01DE
2268,78052,A10BB
2269,5119,A10BG
2270,78605,L01BB
2271,78605,J04AB
2272,4589,N07BB
2273,7840,A01AC
2274,78791,L01EA
2275,7872,L01CD
2276,7821,D06AX
2277,4589,N07AA
2278,78550,N02BA
2279,7823,N06DA
2280,78820,N05AX
2281,4589,N03AX
2282,7863,N05AE
2283,78791,B01AC
2284,2875,J01DH
2285,78900,C03BA
2286,37520,N02BF
2287,7802,G04CA
2288,78550,G03DA
2289,78791,N04BX
2290,4589,G01AA
2291,3689,N03AF
2292,78791,A01AC
2293,9916,A04AD
2294,78820,N06DA
2295,7840,J05AB
2296,78650,C01EB
2297,56400,R03AC
2298,2875,N06AA
2299,5997,G02AB
2300,7823,N02AA
2301,78791,A06AX
2302,78791,J05AB
2303,78791,S01GX
2304,7821,R02AX
2305,56400,J05AE
2306,78791,C10AA
2307,4589,C09AA
2308,7295,J05AP
2309,78820,N01AH
2310,4131,N02CC
2311,4589,J01AA
2312,7821,N04BC
2313,7840,N06AA
2314,37520,D07AC
2315,3689,L01AD
2316,6959,N01BB
2317,7823,C03DA
2318,27651,L01BC
2319,7821,J05AG
2320,4111,A10BH
2321,586,N03AX
2322,3709,N06AX
2323,2875,L01EX
2324,5849,V03AC
2325,78791,J05AF
2326,78900,C04AB
2327,78052,G01AA
2328,7840,S01EB
2329,7802,A10BK
2330,4279,A02BA
2331,78791,A06AD
2332,2875,L01BA
2333,78057,N01AH
2334,3709,R01AC
2335,78791,S02AA
2336,7295,A10BK
2337,7802,L01EX
2338,37520,R03BA
2339,5997,J01MA
2340,78791,J01AA
2341,6959,N05AH
2342,7907,S01AA
2343,7840,S01ED
2344,56400,J01EA
2345,7821,N06AX
2346,56400,L04AD
2347,7802,L01BC
2348,586,V08CA
2349,56400,N03AE
2350,3709,S01BC
2351,7821,L01XA
2352,2875,C01CA
2353,7802,N05AE
2354,7895,N04BC
2355,7863,J01MA
2356,37100,J02AC
2357,2699,M04AA
2358,7823,C04AD
2359,78900,J01MA
2360,7823,N02CC
2361,78900,V03AB
2362,7802,C07AB
2363,586,C03CA
2364,7821,M03BA
2365,586,M04AA
2366,586,C09AA
2367,7812,N06AX
2368,3709,R01AC
2369,7802,C08CA
2370,5789,N04BC
2371,72885,A02BC
2372,7825,J02AX
2373,5789,C09AA
2374,78550,L04AD
2375,78791,B01AF
2376,2699,C07AB
2377,7840,R06AX
2378,5997,M03CA
2379,78550,J01DD
2380,78550,N05AE
2381,72885,C02AC
2382,4279,G04CA
2383,78550,N06AA
2384,3899,J01MA
2385,72885,N05AX
2386,78791,H05BX
2387,7823,A06AG
2388,4111,L01XG
2389,78605,C02AC
2390,7840,N06AA
2391,78650,C09CA
2392,78906,A07EA
2393,78052,D06BB
2394,78605,R03AC
2395,7821,D07AC
2397,78820,N03AG
2398,5997,G04BE
2399,56400,N02CC
2400,7242,G02CC
2401,78900,C04AD
2402,7823,J01MA
2403,7821,C09AA
2404,78791,J01DC
2405,78052,N06AX
2406,7840,V03AC
2407,7821,L01XX
2408,78550,C09AA
2409,7863,A02BC
2410,78791,L01BB
2411,78550,N06AX
2412,2875,C07AB
2413,56400,M01AH
2414,2699,M03BX
2415,3689,C07AB
2416,78550,C09AA
2417,2875,A10BX
2418,586,C01BA
2419,72885,L01XG
2420,78052,C01CA
2421,78650,C10AX
2422,6959,J04BA
2423,5997,B01AX
2424,4589,C03DA
2425,7840,A10BG
2426,7872,G03DA
2427,7863,N06AB
2428,7823,N06AX
2429,78791,N06AA
2430,72885,N07BB
2431,7802,N01BB
2432,7295,N05AX
2433,78550,A04AA
2434,72885,B01AC
2435,78650,C09CA
2436,78791,J05AH
2437,27651,N02BF
2438,2875,C08CA
2439,2699,A10BH
2440,7802,B01AC
2441,7823,N06AX
2442,78900,P01BA
2443,7840,G03XA
2444,37100,P01BA
2445,7821,C09AA
2446,4589,R06AX
2447,7895,L01AB
2448,78605,D10AF
2449,586,B01AC
2450,78900,A02BC
2451,7895,J05AB
2452,7802,C03AA
2453,7840,N03AF
2454,7812,N05AB
2455,78605,C01CA
2456,37520,M03CA
2457,7821,S01EE
2458,72885,C03BA
2459,7295,C09CA
2460,6959,S01EC
2461,72885,N07AA
2462,6959,J01DH
2463,7872,L04AD
2464,4279,N05AC
2465,5789,M01AH
2466,7821,J01AA
2467,2699,L01BC
2468,37520,R01AC
2469,7810,N05AX
2470,7812,N02CA
2471,71690,V03AC
2472,7295,A10BH
2473,78791,R03CC
2474,7823,R01AC
2475,78650,C07AA
2476,7231,R05DA
2477,78605,A04AD
2478,56400,C08CA
2479,78791,H05BX
2480,7821,N02AA
2481,7821,J05AG
2482,5997,J01DD
2483,7823,C01BA
2484,6959,J01AA
2485,6959,J01EA
2486,4589,A10BA
2487,78605,A04AA
2488,7821,R03AC
2489,4589,J05AG
2490,4589,L01DC
2491,78605,N04BC
2492,78900,C02DD
2493,586,J01AA
2494,7802,L04AX
2495,7821,C03BA
2496,2875,J04AB
2497,7821,D07AB
2498,2875,C03CC
2499,7821,C08CA
2500,72885,D06BB
2501,5997,M04AA
2502,4279,V08CA
2503,2699,N06AX
2504,7823,P02CA
2505,7895,C03DA
2506,7821,J04AB
2507,9916,N02AA
2508,78791,P01BC
2509,78052,A02BA
2510,7872,N04BC
2511,5997,B01AF
2512,78900,C03BA
2513,7872,G02AD
2514,2875,J01DB
2515,78052,A02BC
2516,78791,A03FA
2517,78650,C07AB
2518,78550,J05AE
2519,56400,A07EC
2520,7812,N07XX
2521,78820,N04BC
2522,2875,R06AD
2523,7295,J01MA
2524,3899,P01BA
2525,4279,G04CA
2526,3709,A16AX
2527,78605,C08DA
2528,5997,M03BX
2529,5849,N06AB
2530,56400,C08CA
2531,7823,L02BG
2532,586,N04BB
2533,78791,C03AA
2534,78791,A04AA
2535,78820,N06AX
2536,7295,L01AA
2537,7823,A02BC
2538,56400,C03AA
2539,7821,N06BA
2540,2699,N05BA
2541,5997,G03BA
2542,7802,N06AB
2543,71690,C10AA
2544,72885,C08DA
2545,7821,J01CA
2546,78650,L01AA
2547,586,V03AC
2548,78791,R06AX
2549,4279,N06BA
2550,7840,D06BB
2551,5119,S01AD
2552,5997,M01AX
2553,5789,N06AB
2554,56400,C08CA
2555,78791,L01DB
2556,4279,A02BC
2557,5997,L01BA
2558,7821,J01DH
2559,7823,N06AX
2560,78900,L02BG
2561,4589,S01GX
2562,586,A07AA
2563,6959,M01AC
2564,78900,N02AA
2565,56400,N02BF
2566,56400,M01AX
2567,78650,C10AA
2569,4589,N01BB
2570,72885,C07AG
2571,78550,N06AX
2572,78650,L04AD
2573,78820,R06AE
2574,78550,N07BB
2575,37520,S01EA
2576,78650,C10AB
2577,7840,R03AC
2578,5119,L01CD
2579,56400,L01BB
2580,78650,N02BE
2581,7295,C09AA
2582,3689,S01GX
2583,56400,L01EA
2584,7821,S01EB
2585,7863,B01AC
2586,5997,A02BC
2587,586,N03AX
2588,5789,N06AX
2589,56400,R02AX
2590,2875,N05CH
2591,4589,N06AB
2592,78791,N02BE
2593,78791,G04BE
2594,78605,H05BX
2596,7821,D06BB
2597,7231,G04BE
2598,4589,N02AA
2599,7231,N06AB
2600,78052,N06AF
2601,6959,J01MA
2602,7802,S01GX
2603,5780,R03DA
2604,7823,D01AC
2605,78900,C01BC
2606,5119,C09AA
2607,7895,R05DA
2608,78052,N07BB
2609,2699,J05AF
2610,4589,P01BC
2611,78900,J01DD
2613,4589,S01ED
2614,78605,N05CD
2615,78650,D01AE
2616,78052,A10BG
2617,78605,D11AX
2618,78791,L04AA
2619,7823,A02BC
2620,5849,J05AE
2621,6959,L01AA
2622,7825,N02BF
2623,7840,C03AA
2624,586,D01AE
2625,7295,L01EA
2626,3899,S01BC
2627,7823,D06BB
2628,5789,S02AA
2629,3709,M03BX
2630,5119,J01DH
2631,56400,C02DB
2632,6959,J01DC
2633,7863,C09AA
2634,6959,D10AF
2635,78650,R03CC
2636,7821,L01DB
2637,6959,L02BA
2638,2699,G04CA
2639,2699,N06AX
2640,7821,A08AB
2641,7823,N06AB
2642,78650,S01GX
2643,5780,N07XX
2644,78820,L01CA
2645,78605,N05AB
2646,56400,L01BC
2647,78791,G04CA
2648,7821,D01AC
2649,7810,N05AX
2650,586,D06AX
2651,78605,J01AA
2652,7295,N04BX
2653,78791,S01AA
2654,2875,L01BA
2655,78791,J05AP
2656,4589,N06BA
2657,4589,N06AX
2658,7821,J05AF
2659,78791,L01XA
2661,72885,A07EA
2662,4589,C09CA
2663,78550,A02BC
2664,7840,M02AA
2665,72885,C10AD
2666,78791,C03DB
2667,78791,C08CA
2668,78605,G04BE
2669,78605,J05AE
2670,78605,N02BE
2671,78791,B05BC
2672,5849,C02DB
2673,7812,S01AD
2674,7840,J05AE
2675,7821,S01AA
2676,7802,B01AX
2677,78791,J05AC
2678,78550,C09AA
2679,7840,J05AB
2680,7295,C07AB
2681,78052,N05AF
2683,56400,R06AX
2684,7825,N05CF
2685,78900,J05AB
2686,5789,M01AC
2687,4589,N05BA
2688,78900,J05AF
2689,56400,N06AX
2690,78605,N02CC
2691,5997,N04BC
2692,78650,J01DD
2693,7821,N05AF
2694,78605,L01AX
2695,78550,J02AC
2697,72885,C03AA
2698,4279,C10AA
2699,4279,A04AA
2700,7840,L01XD
2701,7840,J05AF
2702,7802,C09AA
2703,78900,N06BA
2704,4279,C02CA
