,SYMP,DRUG
327,2699,V03AC
328,7802,G03XC
329,7821,N05AB
330,78605,A02BA
331,78900,G04BD
332,78900,R03BA
333,78605,A05AA
334,78791,N07BC
335,7821,J01DC
336,7840,C08CA
337,78650,N02CC
338,7812,J01MA
339,7840,R03AA
340,2875,N05CD
341,78605,S01GX
342,7821,J01MA
343,7840,N06BA
344,5789,J05AP
345,78605,J05AB
346,7821,N06BA
347,78900,J01MA
348,78900,A07AA
349,37520,S01EE
350,72885,J01XD
351,7840,N06AF
353,7872,N06AX
354,7872,A05AA
355,78791,N06BA
356,78791,A10BA
357,7840,G04CB
358,78791,N05AX
359,5849,N04BB
360,78550,N01BB
361,4589,C01BB
362,5997,A04AD
363,7872,L01BC
364,78550,J01MA
365,7823,C09AA
366,7823,N04BC
367,72885,N06AX
368,7295,L01BA
369,37100,L02BA
370,72885,N02CC
371,5789,N02AC
372,4279,L02BA
373,27651,J01MA
374,78650,J01XD
375,7840,R06AB
376,78650,R03AC
377,72885,L01XA
378,7872,A03AB
379,6959,N02CC
380,7825,N04BC
381,7840,P01BC
382,2875,C02AB
383,78605,N02AA
384,7821,D07AB
385,586,G02CC
386,78820,N06AA
387,7821,A01AC
388,78650,M05BA
389,78052,N03AA
390,4589,A02BC
391,7872,L01AD
392,7840,R03AB
393,78052,C10AA
394,78820,N06AF
395,7821,D10AD
396,4589,M01AH
397,56400,C09AA
398,78650,N05AH
399,7821,J05AP
400,78605,M02AA
401,6959,R01AC
402,2699,C09CA
403,7840,N06DA
404,78820,N06AB
405,7821,C07AA
406,7231,L02BG
407,6959,D07AC
408,78605,A07AA
409,71690,N05CF
410,56400,G04BD
411,586,M01AB
412,6959,A10BB
413,78605,N05CM
414,7840,N05CD
415,4279,V03AC
416,78900,N06AA
417,7872,L01EA
418,78052,D05AX
419,78551,L01AA
420,2875,C01BD
421,7821,M02AA
422,7821,J01EA
423,7821,G03AD
424,3689,C09AA
425,5780,G02CC
426,7823,G04CA
427,78052,D11AX
428,7821,N06BA
429,2875,B01AC
430,2699,C01EB
431,56400,J05AP
432,78650,N06AX
433,78791,R03DA
434,7840,J01DD
435,2875,D10AD
436,4589,N05CF
437,5849,J05AG
438,78605,S01EB
439,4589,B01AA
440,78791,N06AB
441,78791,C01BC
442,7840,L01DB
443,5789,C03CA
444,37520,S01AA
445,7802,N02CC
446,72885,L04AD
447,78650,M02AA
448,37520,R01AA
449,78791,C01BA
450,7810,N04BC
451,56400,A10BH
452,7825,N02CC
453,72885,R01AC
454,7840,B01AA
455,4279,L01AB
456,5780,M04AA
457,586,N05AE
458,4279,L01BB
459,7821,G04BE
460,78052,J01CA
461,7840,J01DD
462,7812,C01BD
463,78650,C09CA
464,7802,N02BA
465,7840,A03FA
466,78605,N05CD
467,78900,V03AC
468,78820,A06AG
469,7840,J01DF
470,7821,C03CA
471,78791,N04BB
472,9916,J05AE
473,7821,J01CF
474,4589,L01AB
475,7802,N07BB
476,5849,C10AA
477,78900,A06AH
478,78550,B01AX
479,5849,N05AX
480,2699,N05AE
481,7231,C01BC
482,78192,N05AX
483,78791,L01BC
484,586,G03DC
485,7840,D04AA
486,6959,J05AF
487,78791,L01BA
488,7295,C02AC
489,78791,S01AA
490,78820,N03AE
491,78605,N05CF
492,78820,N06AB
493,27651,N03AG
494,7840,N06AB
495,4589,G04CA
496,56400,L01EB
497,5997,J01CF
498,4589,J02AC
499,78550,C07AG
500,2875,N04BX
501,78791,S01BC
502,78650,B02AA
503,27651,N03AX
504,6959,D05AX
505,2699,N06AX
506,56400,N06AA
507,7840,M01AH
508,2699,N02CC
509,7907,J01FA
511,78550,C02CA
512,5997,A02BC
513,2875,C08CA
514,7821,C02AA
515,78791,C07AA
516,4111,C05AE
517,4279,L01EX
518,78791,C04AD
519,5849,J05AB
520,4589,R07AX
521,78052,N06AA
522,78097,N05AC
523,2699,N06BA
524,78900,J01DC
525,78052,J05AE
526,78820,N03AB
527,78906,M01AB
528,78900,N02BF
529,586,L01BA
530,3899,M01AE
531,78052,C08CA
532,9916,N01BB
533,78052,N01BB
534,7802,N05AX
535,2699,C03CA
536,4589,N05AH
537,78650,M03BX
538,5997,L01XX
539,3899,S02AA
540,586,N04BC
541,2875,J01MA
542,27651,J05AE
543,4589,N04BC
544,586,N02AA
545,7821,S01EC
546,72885,G02CC
547,78650,J05AD
548,3689,P01BA
549,78052,L01BC
550,78052,A02BC
551,7231,N05AX
552,4279,C01BA
553,7863,N06DX
554,78906,N04BC
555,2875,L02BA
556,4589,N05AC
557,27651,N06AX
558,4589,L01EA
559,3689,G04BE
560,78650,G02AD
561,78650,C08CA
562,78550,A02BC
563,4279,J05AB
564,7295,J01MA
565,2699,A02BC
566,78550,R03DA
567,3709,D10AD
568,27651,L04AD
569,3689,C07AA
570,5849,J05AD
571,78820,N05AA
572,2875,C09AA
573,7840,B01AC
574,586,J01DD
575,4589,C01EB
576,78650,N04BC
577,7821,N05AF
578,6959,L01DC
579,7825,N06AX
580,7821,M01AB
581,5997,N06DX
582,78650,N03AG
583,586,J01DE
584,4589,C02DB
585,78650,J01DF
586,78791,D04AA
587,5997,J05AB
588,4131,N02CC
589,7802,B01AF
590,78052,L01CE
591,78900,N03AC
592,586,J01CF
593,2699,N04BB
594,27651,N02CC
595,7821,C07AB
596,4279,C04AB
597,78650,C09AA
598,7802,N05CD
599,78791,N07XX
600,78791,M02AA
601,78052,J05AE
602,5781,N04BC
603,5997,N01BB
604,78550,J01CF
605,5781,A07AA
606,2875,C09AA
607,72885,N05BA
608,7872,N04BC
609,78820,N02AA
610,7840,V03AB
611,7821,G02CC
612,56400,V03AF
613,6959,S01EE
614,78900,B02AA
615,78052,N03AC
616,78605,J04AB
617,78605,A16AA
618,7821,N06AA
619,2699,N01AH
620,7840,R06AX
621,5781,N02BF
622,7821,C04AD
623,56400,M02AA
624,78791,J04AK
625,78650,L01DB
626,7821,S01EE
627,72885,G03XA
628,5780,C09AA
629,7840,J02AC
630,78791,N05AF
631,5789,L01EA
632,2699,A02BC
633,72885,N02BF
