,PHARMACLASS,DRUG
3002815,N0000175968,B02B
3002816,N0000175075,L01X
3002817,N0000175721,M01A
3002818,N0000000083,R03D
3002819,N0000008486,N03A
3002820,N0000008853,D01A
3002821,N0000175684,N02A
3002822,N0000185504,J01E
3002823,N0000185503,C01B
3002824,N0000007911,J04A
3002825,N0000000109,N06A
3002826,N0000175359,C03B
3002827,N0000175686,N02A
3002828,N0000175508,J02A
3002829,N0000008836,N02B
3002830,N0000166469,C03A
3002831,N0000009918,N02C
3002832,N0000190108,L01E
3002833,N0000000243,L02B
3002834,N0000000191,P01B
3002836,N0000182141,J05A
3002837,N0000007700,L01X
3002838,N0000175684,N02A
3002839,N0000190107,J05A
3002840,N0000000069,C08C
3002841,N0000182140,J02A
3002842,N0000175359,C03B
3002843,N0000008217,G01A
3002844,N0000175850,D11A
3002845,N0000000174,R05D
3002848,N0000187064,L01E
3002849,N0000190113,J05A
3002850,N0000011414,J01F
3002851,N0000000104,S01E
3002852,N0000007707,M05B
3002853,N0000000194,H01C
3002854,N0000175817,A04A
3002855,N0000175632,B02A
3002856,N0000000236,L01D
3002857,N0000185504,J02A
3002858,N0000190118,N03A
3002859,N0000007700,D05A
3002860,N0000008054,A10B
3002861,N0000007556,C08C
3002862,N0000000125,G04B
3002863,N0000007542,N05B
3002864,N0000008486,N03A
3002865,N0000185503,L01E
3002866,N0000175359,C03A
3002867,N0000175436,J05A
3002868,N0000020060,S01A
3002869,N0000182141,R07A
3002870,N0000185503,L04A
3002871,N0000185504,J02A
3002872,N0000000069,C08C
3002873,N0000000233,L04A
3002874,N0000190114,J05A
3002876,N0000175729,N06B
3002877,N0000000151,A02B
3002878,N0000178477,C09A
3002879,N0000175763,N02C
3002880,N0000000190,R06A
3002881,N0000185507,N03A
3002882,N0000185503,C10A
3002883,N0000000168,L02B
3002884,N0000006996,D05A
3002885,N0000000233,L01B
3002886,N0000008486,N03A
3002887,N0000007566,D01A
3002888,N0000182143,B01A
3002889,N0000009947,J05A
3002890,N0000000160,S01B
3002891,N0000175365,C10A
3002893,N0000175972,L01X
3002894,N0000175450,D07A
3002895,N0000009918,M03B
3002896,N0000000233,L01B
3002897,N0000008217,H02C
3002898,N0000007853,J01G
3002899,N0000007700,D10A
3002900,N0000191267,J01X
3002901,N0000000146,G03B
3002903,N0000182147,R05D
3002904,N0000175729,N06B
3002905,N0000009948,J05A
3002906,N0000175969,B02B
3002907,N0000011161,J01D
3002908,N0000191266,N03A
3002909,N0000008016,N05C
3002910,N0000175459,J05A
3002911,N0000007710,G02A
3002912,N0000190111,L01E
3002913,N0000008217,D01A
3002914,N0000191265,L01E
3002916,N0000185503,J05A
3002917,N0000190107,J05A
3002918,N0000008486,N03A
3002919,N0000007196,S01E
3002920,N0000000100,G03C
3002921,N0000007658,J01X
3002922,N0000008330,C07A
3002924,N0000007568,J01X
3002925,N0000175086,L01X
3002926,N0000175976,N01B
3002927,N0000175721,M01A
3002928,N0000191272,J05A
