,SYMP,DRUG
416,7890,N06A
417,7872,L01E
418,78052,D05A
419,78551,L01A
420,2875,C01B
421,7821,M02A
422,7821,J01E
423,7821,G03A
424,3689,C09A
425,5780,G02C
426,7823,G04C
427,78052,D11A
428,7821,N06B
429,2875,B01A
430,2699,C01E
431,5640,J05A
432,7865,N06A
433,78791,R03D
434,7840,J01D
435,2875,D10A
436,4589,N05C
437,5849,J05A
438,78605,S01E
439,4589,B01A
440,78791,N06A
441,78791,C01B
442,7840,L01D
443,5789,C03C
444,3752,S01A
445,7802,N02C
446,72885,L04A
447,7865,M02A
448,3752,R01A
449,78791,C01B
450,7810,N04B
451,5640,A10B
452,7825,N02C
453,72885,R01A
454,7840,B01A
455,4279,L01A
456,5780,M04A
457,5860,N05A
458,4279,L01B
459,7821,G04B
460,78052,J01C
461,7840,J01D
462,7812,C01B
463,7865,C09C
464,7802,N02B
465,7840,A03F
466,78605,N05C
467,7890,V03A
468,7882,A06A
469,7840,J01D
470,7821,C03C
471,78791,N04B
472,9916,J05A
473,7821,J01C
474,4589,L01A
475,7802,N07B
476,5849,C10A
477,7890,A06A
478,7855,B01A
479,5849,N05A
480,2699,N05A
481,7231,C01B
482,78192,N05A
483,78791,L01B
484,5860,G03D
485,7840,D04A
486,6959,J05A
487,78791,L01B
488,7295,C02A
489,78791,S01A
490,7882,N03A
491,78605,N05C
492,7882,N06A
493,27651,N03A
494,7840,N06A
495,4589,G04C
496,5640,L01E
497,5997,J01C
498,4589,J02A
499,7855,C07A
500,2875,N04B
501,78791,S01B
502,7865,B02A
503,27651,N03A
504,6959,D05A
505,2699,N06A
506,5640,N06A
507,7840,M01A
508,2699,N02C
509,7907,J01F
511,7855,C02C
512,5997,A02B
513,2875,C08C
514,7821,C02A
515,78791,C07A
516,4111,C05A
517,4279,L01E
518,78791,C04A
519,5849,J05A
520,4589,R07A
521,78052,N06A
522,78097,N05A
523,2699,N06B
524,7890,J01D
525,78052,J05A
526,7882,N03A
527,78906,M01A
528,7890,N02B
529,5860,L01B
530,3899,M01A
531,78052,C08C
532,9916,N01B
533,78052,N01B
534,7802,N05A
535,2699,C03C
536,4589,N05A
537,7865,M03B
538,5997,L01X
539,3899,S02A
540,5860,N04B
541,2875,J01M
542,27651,J05A
543,4589,N04B
544,5860,N02A
545,7821,S01E
546,72885,G02C
547,7865,J05A
548,3689,P01B
549,78052,L01B
550,78052,A02B
551,7231,N05A
552,4279,C01B
553,7863,N06D
554,78906,N04B
555,2875,L02B
556,4589,N05A
557,27651,N06A
558,4589,L01E
559,3689,G04B
560,7865,G02A
561,7865,C08C
562,7855,A02B
563,4279,J05A
564,7295,J01M
565,2699,A02B
566,7855,R03D
567,3709,D10A
568,27651,L04A
569,3689,C07A
570,5849,J05A
571,7882,N05A
572,2875,C09A
573,7840,B01A
574,5860,J01D
575,4589,C01E
576,7865,N04B
577,7821,N05A
578,6959,L01D
579,7825,N06A
580,7821,M01A
581,5997,N06D
582,7865,N03A
583,5860,J01D
584,4589,C02D
585,7865,J01D
586,78791,D04A
587,5997,J05A
588,4131,N02C
589,7802,B01A
590,78052,L01C
591,7890,N03A
592,5860,J01C
593,2699,N04B
594,27651,N02C
595,7821,C07A
596,4279,C04A
597,7865,C09A
598,7802,N05C
599,78791,N07X
600,78791,M02A
601,78052,J05A
602,5781,N04B
603,5997,N01B
604,7855,J01C
605,5781,A07A
606,2875,C09A
607,72885,N05B
608,7872,N04B
609,7882,N02A
610,7840,V03A
611,7821,G02C
612,5640,V03A
613,6959,S01E
614,7890,B02A
615,78052,N03A
616,78605,J04A
617,78605,A16A
618,7821,N06A
619,2699,N01A
620,7840,R06A
621,5781,N02B
622,7821,C04A
623,5640,M02A
624,78791,J04A
625,7865,L01D
626,7821,S01E
627,72885,G03X
628,5780,C09A
629,7840,J02A
630,78791,N05A
631,5789,L01E
632,2699,A02B
633,72885,N02B
634,7872,M03B
635,7802,N02C
637,78052,R06A
638,78052,C07A
639,7840,N07B
640,7802,C03D
641,2875,L01X
